text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count
RT @chilternbear: @S2K7771 @CadburyUK @GaryLineker @MarcusRashford @BillGates @BillScrotum @acgrayling @Schofe @JustinWelby @susannareid100…,Wed Jan 13 08:11:05 +0000 2021,,en,,,12127,29822,Indefatigable,,1226834493752979457,Mon Feb 10 11:45:22 +0000 2020,False,False,,0,2449,False,,4310,True,@S2K777,,S2K7771,False,F5F8FA,http://pbs.twimg.com/profile_images/1228260816425713664/rb6Nsx5P_normal.jpg,,1349267713613570048,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,2
"I hope @WHO @UN @BillGates  will have a say about this conspiracy to wipe out Africa, the west should stop acceptin… https://t.co/1kCWG7bKGk",Wed Jan 13 08:08:46 +0000 2021,,en,,,715,1020,"I'm a Biochemist and a social affairs analyst, I believe in a just world where everyone is happy with no oppression or Intimidation.",Nigeria,734731559966789632,Mon May 23 13:03:49 +0000 2016,False,False,,0,326,False,,799,True,Adeeko Emmanuel Ayo,,Adeekoemmanayo,False,F5F8FA,http://pbs.twimg.com/profile_images/1131540300969775104/fvoC6E8X_normal.jpg,,1349267127698673664,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,0
"Just one advice for @BillGates 
Take a look at 
AIRTIFICIAL INTELLIGENCE. 
(Spanish technology company).",Wed Jan 13 08:08:40 +0000 2021,,en,,,95,253,,,1301896286954815488,Fri Sep 04 14:54:09 +0000 2020,False,False,,0,5,False,,18,True,Pedro,,Pedro38298782,False,F5F8FA,http://pbs.twimg.com/profile_images/1301896668196098049/oJS1-f_1_normal.jpg,,1349267104969711617,0,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,0
RT @DefineRacism1: @SeanGoss31 @Nqobzin20 @radio786online @BillGates @Jagman05580158 It is often a very tough choice to make Sean. You want…,Wed Jan 13 08:08:28 +0000 2021,,en,,,3274,2415,Africa is underpopulated,South Africa,465586519,Mon Jan 16 14:30:38 +0000 2012,False,False,,0,471,False,,722,True,kakngothuvi,,mr_nofuxgiven,True,C0DEED,http://pbs.twimg.com/profile_images/1243894257829715969/iTKFqQH1_normal.jpg,,1349267052729655297,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,2
@S2K7771 @CadburyUK @GaryLineker @MarcusRashford @BillGates @BillScrotum @acgrayling @Schofe @JustinWelby… https://t.co/feHRLFmGt8,Wed Jan 13 08:04:48 +0000 2021,,en,,,32836,32839,Currently loves dogs. Animal welfare. Rugby and fungi tolerant. Not a Londoner. Cannot eat sweet corn due to an experience as a child. Likes cheeseburgers.,,883729135385890823,Sat Jul 08 16:46:59 +0000 2017,False,False,,13,718,False,,547,True,chilternbear,,chilternbear,False,F5F8FA,http://pbs.twimg.com/profile_images/884298426107691008/ajgmaD7q_normal.jpg,,1349266129471090690,4,False,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",False,2
@Cambridge_Uni @moderna_tx @UniofOxford @pfizer @WHO @doctorsoumya @mvankerkhove @DrTedros @BillGates… https://t.co/s5egaNUhAe,Wed Jan 13 08:04:45 +0000 2021,,und,,,3652,4267,Views are strictly personal and not of the employer. RT/Likes doesn't mean endorsements. Member of Humanity Party. Not a doctor. See your doc for advice.,Twitter,1248590553723387905,Fri Apr 10 12:36:15 +0000 2020,False,False,,6,155,False,,1207,True,NG20194,,NG20194,False,F5F8FA,http://pbs.twimg.com/profile_images/1288240156831490048/BlCy5gHt_normal.jpg,,1349266120717475840,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,0
@Edward58417410 @AlexAjaiYoung @BillGates Please delete this and watch the full video on YouTube… https://t.co/xqArDTPDWf,Wed Jan 13 08:04:42 +0000 2021,,en,,,30582,1406,"petroleum engineer•
portrait artist•
web designer•
web content writer•
blog post curator•
marvel fan•
foodie•
20 somethings•

🧡",Abuja,3196992377,Thu Apr 23 06:32:35 +0000 2015,False,False,,0,322,False,,314,True,Ari🔸Jay,,dicashi,True,C0DEED,http://pbs.twimg.com/profile_images/1254252913079304193/3loBVZCf_normal.jpg,,1349266106209497090,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,0
"RT @Ogbadoyi1: Hey @BillGates @melindagates @gatesfoundation Do you all remember this 👇?

When will you all take the Vaccine?? https://t.co…",Wed Jan 13 08:04:23 +0000 2021,,en,,,1533,3602,,,925509656738455552,Tue Oct 31 23:47:52 +0000 2017,False,False,,0,29,False,,78,True,Zee,,ngiziee,False,F5F8FA,http://pbs.twimg.com/profile_images/1347324126487310338/Pd3HpxRM_normal.jpg,,1349266028283441155,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,1
Can @CNN @BBCWorld investigate this please! Are there any plans to wipe out the black race? @BillGates  should come… https://t.co/9jgGlNfRTn,Wed Jan 13 08:04:04 +0000 2021,,en,,,715,1020,"I'm a Biochemist and a social affairs analyst, I believe in a just world where everyone is happy with no oppression or Intimidation.",Nigeria,734731559966789632,Mon May 23 13:03:49 +0000 2016,False,False,,0,326,False,,799,True,Adeeko Emmanuel Ayo,,Adeekoemmanayo,False,F5F8FA,http://pbs.twimg.com/profile_images/1131540300969775104/fvoC6E8X_normal.jpg,,1349265946578477056,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,0
"RT @SputnikInt: Peruvian court probing judge's ruling alleging Soros, Bill Gates are creators of #COVID19 pandemic 

@georgesoros @BillGate…",Wed Jan 13 08:03:47 +0000 2021,,en,,,14299,12678,check @mazz_za1 EP https://t.co/ZVGN73KYXU,Durban South Africa 🇿🇦,485761616,Tue Feb 07 15:07:53 +0000 2012,False,False,https://t.co/mCMzQx3wYz,11,3931,False,,3702,True,Sabelo Mbeje,,sabza1_za,True,C0DEED,http://pbs.twimg.com/profile_images/1184905685454245895/g_LskvrO_normal.jpg,,1349265877305274369,0,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,70
